applicant_id,age,gender,race,education,hired
1,56,Male,Asian,High School,0
2,46,Female,Hispanic,Bachelor,1
3,32,Female,White,Bachelor,0
4,60,Male,White,High School,1
5,25,Female,Hispanic,Bachelor,0
6,38,Male,Asian,Bachelor,1
7,56,Male,White,High School,1
8,36,Female,White,Bachelor,1
9,40,Female,White,High School,1
10,28,Female,Asian,Bachelor,0
11,28,Female,Black,High School,1
12,41,Male,White,Master,1
13,53,Male,White,Bachelor,0
14,57,Male,Asian,High School,1
15,41,Male,White,Bachelor,1
16,20,Male,White,Bachelor,0
17,39,Male,White,Bachelor,1
18,19,Male,White,Bachelor,1
19,41,Male,White,Bachelor,1
20,61,Female,Hispanic,High School,1
21,47,Female,Asian,High School,1
22,55,Male,Hispanic,Bachelor,1
23,19,Female,Asian,Bachelor,0
24,38,Female,White,Bachelor,1
25,50,Male,Hispanic,Master,0
26,29,Female,White,Bachelor,1
27,39,Female,Black,Master,1
28,61,Female,Other,High School,0
29,42,Male,White,High School,1
30,66,Female,White,Master,1
31,44,Male,White,Bachelor,1
32,59,Female,White,Master,1
33,45,Female,White,High School,1
34,33,Female,Hispanic,Bachelor,1
35,32,Female,Other,Master,1
36,64,Female,White,High School,0
37,61,Male,White,Master,1
38,20,Male,White,Bachelor,1
39,54,Female,Asian,Bachelor,0
40,24,Male,White,Bachelor,1
41,38,Male,White,Master,0
42,26,Male,White,High School,1
43,56,Male,White,High School,1
44,35,Female,White,Master,1
45,21,Female,Hispanic,Master,1
46,42,Female,Black,High School,1
47,31,Female,Black,Bachelor,0
48,26,Female,White,Bachelor,1
49,43,Male,Hispanic,Bachelor,0
50,19,Female,Black,High School,1
51,37,Male,White,Bachelor,1
52,45,Female,White,High School,0
53,64,Female,White,Master,0
54,24,Male,Hispanic,Master,1
55,61,Female,White,Bachelor,1
56,25,Female,Other,High School,0
57,64,Female,White,High School,1
58,52,Male,Hispanic,Bachelor,1
59,31,Female,Black,Bachelor,0
60,34,Female,Hispanic,Bachelor,0
61,53,Male,White,Bachelor,1
62,57,Male,White,Bachelor,1
63,21,Female,Hispanic,High School,1
64,19,Male,White,High School,0
65,23,Female,White,High School,1
66,59,Female,White,High School,0
67,21,Female,White,Bachelor,1
68,46,Male,White,Master,1
69,35,Female,White,Master,1
70,43,Male,White,High School,1
71,61,Male,Hispanic,High School,0
72,51,Female,Black,High School,1
73,27,Male,Hispanic,Bachelor,1
74,53,Male,Other,Bachelor,0
75,31,Female,White,Bachelor,0
76,48,Male,White,High School,1
77,65,Male,White,High School,1
78,32,Female,White,High School,1
79,25,Female,Asian,High School,1
80,31,Female,White,Bachelor,1
81,40,Male,White,High School,1
82,57,Male,White,Bachelor,0
83,38,Male,Black,Bachelor,0
84,33,Male,Black,Master,1
85,62,Female,White,Master,1
86,35,Male,Other,Master,1
87,64,Male,White,High School,0
88,41,Female,White,Bachelor,1
89,43,Female,Asian,Master,1
90,42,Female,White,High School,1
91,62,Male,Asian,Bachelor,1
92,58,Male,Other,Master,1
93,46,Male,Hispanic,Bachelor,1
94,32,Male,Hispanic,High School,1
95,62,Female,White,High School,0
96,18,Female,Asian,Bachelor,1
97,42,Female,White,High School,1
98,24,Female,Hispanic,Bachelor,0
99,26,Male,Asian,Bachelor,1
100,41,Female,Other,High School,0
101,18,Male,Hispanic,Master,1
102,61,Female,White,Bachelor,1
103,25,Female,Other,High School,1
104,41,Male,Black,Master,1
105,28,Male,Asian,Master,0
106,34,Non-binary,Black,Bachelor,1
107,25,Male,White,Master,1
108,52,Male,White,Bachelor,1
109,52,Male,White,Master,1
110,50,Female,Hispanic,Bachelor,1
111,22,Female,White,Master,1
112,59,Female,White,PhD,1
113,56,Male,White,Bachelor,0
114,58,Female,Hispanic,High School,1
115,45,Male,White,Bachelor,1
116,24,Female,White,Bachelor,0
117,26,Female,White,High School,1
118,25,Male,White,PhD,1
119,29,Male,White,High School,0
120,51,Male,White,High School,1
121,50,Male,White,Master,0
122,65,Male,Asian,Bachelor,1
